152,3
153,2
154,1
155,3
156,2
157,1
158,3
159,2
160,1
161,5
162,3
163,5
164,3
165,5
166,3
167,5
168,3
169,3
170,5
171,3
172,2
173,2
174,2
175,5
176,3
177,5
178,3
179,5
180,3
181,1
182,2
183,5
184,3
185,3
186,2
187,5
188,3
189,1
190,4
191,5
192,3
193,4
194,5
195,3
196,1
197,1
198,4
199,2
200,4
201,4
202,3
203,3
204,3
205,1
206,5
207,5
208,2
209,5
210,3
211,4
212,2
213,5
214,3
215,3
216,5
217,3
218,5
219,3
220,5
221,3
222,4
223,5
224,3
225,4
226,4
227,3
228,5
229,3
230,2
231,5
232,3
233,2
234,4
235,2
236,1
237,2
238,2
239,2
240,2
241,3
242,2
243,1
244,1
245,1
246,5
247,3
248,1
249,1
250,1
251,1
